id,name,type,district_id
2747,"Phường Liên Bảo",Phường,166
2748,"Phường Hội Hợp",Phường,166
2749,"Phường Đống Đa",Phường,166
2750,"Phường Ngô Quyền",Phường,166
2751,"Phường Đồng Tâm",Phường,166
2752,"Xã Định Trung",Xã,166
2753,"Phường Khai Quang",Phường,166
2754,"Xã Thanh Trù",Xã,166
2755,"Phường Trưng Trắc",Phường,167
2756,"Phường Hùng Vương",Phường,167
2757,"Phường Trưng Nhị",Phường,167
2758,"Phường Phúc Thắng",Phường,167
2759,"Phường Xuân Hoà",Phường,167
2760,"Phường Đồng Xuân",Phường,167
2761,"Xã Ngọc Thanh",Xã,167
2762,"Xã Cao Minh",Xã,167
2763,"Phường Nam Viêm",Phường,167
2764,"Phường Tiền Châu",Phường,167
2765,"Thị trấn Lập Thạch","Thị trấn",168
2766,"Xã Quang Sơn",Xã,168
2767,"Xã Ngọc Mỹ",Xã,168
2768,"Xã Hợp Lý",Xã,168
2769,"Xã Lãng Công",Xã,175
2770,"Xã Quang Yên",Xã,175
2771,"Xã Bạch Lưu",Xã,175
2772,"Xã Hải Lựu",Xã,175
2773,"Xã Bắc Bình",Xã,168
2774,"Xã Thái Hòa",Xã,168
2775,"Thị trấn Hoa Sơn","Thị trấn",168
2776,"Xã Liễn Sơn",Xã,168
2777,"Xã Xuân Hòa",Xã,168
2778,"Xã Vân Trục",Xã,168
2779,"Xã Đồng Quế",Xã,175
2780,"Xã Nhân Đạo",Xã,175
2781,"Xã Đôn Nhân",Xã,175
2782,"Xã Phương Khoan",Xã,175
2783,"Xã Liên Hòa",Xã,168
2784,"Xã Tử Du",Xã,168
2785,"Xã Tân Lập",Xã,175
2786,"Xã Nhạo Sơn",Xã,175
2787,"Thị trấn Tam Sơn","Thị trấn",175
2788,"Xã Như Thụy",Xã,175
2789,"Xã Yên Thạch",Xã,175
2790,"Xã Bàn Giản",Xã,168
2791,"Xã Xuân Lôi",Xã,168
2792,"Xã Đồng Ích",Xã,168
2793,"Xã Tiên Lữ",Xã,168
2794,"Xã Văn Quán",Xã,168
2795,"Xã Đồng Thịnh",Xã,175
2796,"Xã Tứ Yên",Xã,175
2797,"Xã Đức Bác",Xã,175
2798,"Xã Đình Chu",Xã,168
2799,"Xã Cao Phong",Xã,175
2800,"Xã Triệu Đề",Xã,168
2801,"Xã Sơn Đông",Xã,168
2802,"Thị trấn Hợp Hòa","Thị trấn",169
2803,"Xã Hoàng Hoa",Xã,169
2804,"Xã Đồng Tĩnh",Xã,169
2805,"Xã Kim Long",Xã,169
2806,"Xã Hướng Đạo",Xã,169
2807,"Xã Đạo Tú",Xã,169
2808,"Xã An Hòa",Xã,169
2809,"Xã Thanh Vân",Xã,169
2810,"Xã Duy Phiên",Xã,169
2811,"Xã Hoàng Đan",Xã,169
2812,"Xã Hoàng Lâu",Xã,169
2813,"Xã Vân Hội",Xã,169
2814,"Xã Hợp Thịnh",Xã,169
2815,"Thị trấn Tam Đảo","Thị trấn",170
2816,"Thị trấn Hợp Châu","Thị trấn",170
2817,"Xã Đạo Trù",Xã,170
2818,"Xã Yên Dương",Xã,170
2819,"Xã Bồ Lý",Xã,170
2820,"Thị trấn Đại Đình","Thị trấn",170
2821,"Xã Tam Quan",Xã,170
2822,"Xã Hồ Sơn",Xã,170
2823,"Xã Minh Quang",Xã,170
2824,"Thị trấn Hương Canh","Thị trấn",171
2825,"Thị trấn Gia Khánh","Thị trấn",171
2826,"Xã Trung Mỹ",Xã,171
2827,"Thị trấn Bá Hiến","Thị trấn",171
2828,"Xã Thiện Kế",Xã,171
2829,"Xã Hương Sơn",Xã,171
2830,"Xã Tam Hợp",Xã,171
2831,"Xã Quất Lưu",Xã,171
2832,"Xã Sơn Lôi",Xã,171
2833,"Thị trấn Đạo Đức","Thị trấn",171
2834,"Xã Tân Phong",Xã,171
2835,"Thị trấn Thanh Lãng","Thị trấn",171
2836,"Xã Phú Xuân",Xã,171
2837,"Thị trấn Chi Đông","Thị trấn",172
2838,"Xã Đại Thịnh",Xã,172
2839,"Xã Kim Hoa",Xã,172
2840,"Xã Thạch Đà",Xã,172
2841,"Xã Tiến Thắng",Xã,172
2842,"Xã Tự Lập",Xã,172
2843,"Thị trấn Quang Minh","Thị trấn",172
2844,"Xã Thanh Lâm",Xã,172
2845,"Xã Tam Đồng",Xã,172
2846,"Xã Liên Mạc",Xã,172
2847,"Xã Vạn Yên",Xã,172
2848,"Xã Chu Phan",Xã,172
2849,"Xã Tiến Thịnh",Xã,172
2850,"Xã Mê Linh",Xã,172
2851,"Xã Văn Khê",Xã,172
2852,"Xã Hoàng Kim",Xã,172
2853,"Xã Tiền Phong",Xã,172
2854,"Xã Tráng Việt",Xã,172
2855,"Thị trấn Yên Lạc","Thị trấn",173
2856,"Xã Đồng Cương",Xã,173
2857,"Xã Đồng Văn",Xã,173
2858,"Xã Bình Định",Xã,173
2859,"Xã Trung Nguyên",Xã,173
2860,"Xã Tề Lỗ",Xã,173
2861,"Xã Tam Hồng",Xã,173
2862,"Xã Yên Đồng",Xã,173
2863,"Xã Văn Tiến",Xã,173
2864,"Xã Nguyệt Đức",Xã,173
2865,"Xã Yên Phương",Xã,173
2866,"Xã Hồng Phương",Xã,173
2867,"Xã Trung Kiên",Xã,173
2868,"Xã Liên Châu",Xã,173
2869,"Xã Đại Tự",Xã,173
2870,"Xã Hồng Châu",Xã,173
2871,"Xã Trung Hà",Xã,173
2872,"Thị trấn Vĩnh Tường","Thị trấn",174
2873,"Xã Kim Xá",Xã,174
2874,"Xã Yên Bình",Xã,174
2875,"Xã Chấn Hưng",Xã,174
2876,"Xã Nghĩa Hưng",Xã,174
2877,"Xã Yên Lập",Xã,174
2878,"Xã Việt Xuân",Xã,174
2879,"Xã Bồ Sao",Xã,174
2880,"Xã Đại Đồng",Xã,174
2881,"Xã Tân Tiến",Xã,174
2882,"Xã Lũng Hoà",Xã,174
2883,"Xã Cao Đại",Xã,174
2884,"Thị Trấn Thổ Tang","Thị trấn",174
2885,"Xã Vĩnh Sơn",Xã,174
2886,"Xã Bình Dương",Xã,174
2887,"Xã Tân Phú",Xã,174
2888,"Xã Thượng Trưng",Xã,174
2889,"Xã Vũ Di",Xã,174
2890,"Xã Lý Nhân",Xã,174
2891,"Xã Tuân Chính",Xã,174
2892,"Xã Vân Xuân",Xã,174
2893,"Xã Tam Phúc",Xã,174
2894,"Thị trấn Tứ Trưng","Thị trấn",174
2895,"Xã Ngũ Kiên",Xã,174
2896,"Xã An Tường",Xã,174
2897,"Xã Vĩnh Thịnh",Xã,174
2898,"Xã Phú Đa",Xã,174
2899,"Xã Vĩnh Ninh",Xã,174
2900,"Phường Vũ Ninh",Phường,176
2901,"Phường Đáp Cầu",Phường,176
2902,"Phường Thị Cầu",Phường,176
2903,"Phường Kinh Bắc",Phường,176
2904,"Phường Vệ An",Phường,176
2905,"Phường Tiền An",Phường,176
2906,"Phường Đại Phúc",Phường,176
2907,"Phường Ninh Xá",Phường,176
2908,"Phường Suối Hoa",Phường,176
2909,"Phường Võ Cường",Phường,176
2910,"Thị trấn Chờ","Thị trấn",177
2911,"Xã Dũng Liệt",Xã,177
2912,"Xã Tam Đa",Xã,177
2913,"Xã Tam Giang",Xã,177
2914,"Xã Yên Trung",Xã,177
2915,"Xã Thụy Hòa",Xã,177
2916,"Xã Hòa Tiến",Xã,177
2917,"Phường Hòa Long",Phường,176
2918,"Xã Đông Tiến",Xã,177
2919,"Xã Yên Phụ",Xã,177
2920,"Xã Trung Nghĩa",Xã,177
2921,"Phường Vạn An",Phường,176
2922,"Xã Đông Phong",Xã,177
2923,"Xã Long Châu",Xã,177
2924,"Phường Khúc Xuyên",Phường,176
2925,"Xã Văn Môn",Xã,177
2926,"Xã Đông Thọ",Xã,177
2927,"Phường Phong Khê",Phường,176
2928,"Thị trấn Phố Mới","Thị trấn",178
2929,"Xã Việt Thống",Xã,178
2930,"Xã Đại Xuân",Xã,178
2931,"Phường Kim Chân",Phường,176
2932,"Xã Nhân Hòa",Xã,178
2933,"Xã Bằng An",Xã,178
2934,"Xã Phương Liễu",Xã,178
2935,"Xã Quế Tân",Xã,178
2936,"Phường Vân Dương",Phường,176
2937,"Xã Phù Lương",Xã,178
