id,name,type,province_id
321,"Huyện Can Lộc",Huyện,28
322,"Huyện Hương Khê",Huyện,28
323,"Huyện Thạch Hà",Huyện,28
324,"Huyện Cẩm Xuyên",Huyện,28
325,"Huyện Kỳ Anh",Huyện,28
326,"Huyện Lộc Hà",Huyện,28
327,"Thị xã Kỳ Anh","Thị xã",28
328,"Thành Phố Đồng Hới","Thành phố",29
329,"Huyện Minh Hóa",Huyện,29
330,"Huyện Tuyên Hóa",Huyện,29
331,"Huyện Quảng Trạch",Huyện,29
332,"Huyện Bố Trạch",Huyện,29
333,"Huyện Quảng Ninh",Huyện,29
334,"Huyện Lệ Thủy",Huyện,29
335,"Thị xã Ba Đồn","Thị xã",29
336,"Thành phố Đông Hà","Thành phố",30
337,"Thị xã Quảng Trị","Thị xã",30
338,"Huyện Vĩnh Linh",Huyện,30
339,"Huyện Hướng Hóa",Huyện,30
340,"Huyện Gio Linh",Huyện,30
341,"Huyện Đa Krông",Huyện,30
342,"Huyện Cam Lộ",Huyện,30
343,"Huyện Triệu Phong",Huyện,30
344,"Huyện Hải Lăng",Huyện,30
345,"Huyện Cồn Cỏ",Huyện,30
346,"Thành phố Huế","Thành phố",31
347,"Huyện Phong Điền",Huyện,31
348,"Huyện Quảng Điền",Huyện,31
349,"Huyện Phú Vang",Huyện,31
350,"Thị xã Hương Thủy","Thị xã",31
351,"Thị xã Hương Trà","Thị xã",31
352,"Huyện A Lưới",Huyện,31
353,"Huyện Phú Lộc",Huyện,31
354,"Huyện Nam Đông",Huyện,31
355,"Quận Liên Chiểu",Quận,32
356,"Quận Thanh Khê",Quận,32
357,"Quận Hải Châu",Quận,32
358,"Quận Sơn Trà",Quận,32
359,"Quận Ngũ Hành Sơn",Quận,32
360,"Quận Cẩm Lệ",Quận,32
361,"Huyện Hòa Vang",Huyện,32
362,"Huyện Hoàng Sa",Huyện,32
363,"Thành phố Tam Kỳ","Thành phố",33
364,"Thành phố Hội An","Thành phố",33
365,"Huyện Tây Giang",Huyện,33
366,"Huyện Đông Giang",Huyện,33
367,"Huyện Đại Lộc",Huyện,33
368,"Thị xã Điện Bàn","Thị xã",33
369,"Huyện Duy Xuyên",Huyện,33
370,"Huyện Quế Sơn",Huyện,33
371,"Huyện Nam Giang",Huyện,33
372,"Huyện Phước Sơn",Huyện,33
373,"Huyện Hiệp Đức",Huyện,33
374,"Huyện Thăng Bình",Huyện,33
375,"Huyện Tiên Phước",Huyện,33
376,"Huyện Bắc Trà My",Huyện,33
377,"Huyện Nam Trà My",Huyện,33
378,"Huyện Núi Thành",Huyện,33
379,"Huyện Phú Ninh",Huyện,33
380,"Huyện Nông Sơn",Huyện,33
381,"Thành phố Quảng Ngãi","Thành phố",34
382,"Huyện Bình Sơn",Huyện,34
383,"Huyện Trà Bồng",Huyện,34
384,"Huyện Sơn Tịnh",Huyện,34
385,"Huyện Tư Nghĩa",Huyện,34
386,"Huyện Sơn Hà",Huyện,34
387,"Huyện Sơn Tây",Huyện,34
388,"Huyện Minh Long",Huyện,34
389,"Huyện Nghĩa Hành",Huyện,34
390,"Huyện Mộ Đức",Huyện,34
391,"Thị xã Đức Phổ","Thị xã",34
392,"Huyện Ba Tơ",Huyện,34
393,"Huyện Lý Sơn",Huyện,34
